forecast_origin,target_date,actual_std,actual_orig,gamma,n_eff,q0_1_std,q0_1_orig,q0_5_std,q0_5_orig,q0_9_std,q0_9_orig,median_error_orig,median_rel_error_orig
2023-12-02,2024-03-02,-0.339989220623574,213000.0,2.154434690031882,39.51543141878066,-0.41518135108255355,152798.85544593405,-0.35965887908156635,197251.86326108023,-0.3327844866828702,218768.33276022837,-15748.13673891977,0.07393491426722897
2024-01-06,2024-04-06,-0.339989220623574,213000.0,2.154434690031882,39.49086433648542,-0.4268166075003082,143483.3094007133,-0.34165394173532887,211667.1728054622,-0.28795401396731557,254660.99535539906,-1332.8271945377928,0.006257404669191516
2024-02-03,2024-05-04,-0.3187559662183416,230000.0,2.154434690031882,38.458758586530344,-0.4256230537425687,144438.90544333274,-0.31004327192283365,236975.65244577563,-0.30091664713939675,244282.7104387413,6975.652445775631,0.030328923677285353
2024-03-02,2024-06-01,-0.32250301111338264,227000.0,2.154434690031882,36.97423759300432,-0.43147150587464345,139756.4538347479,-0.3865405327102534,175729.5801966873,-0.3070790515731364,239348.8989101723,-51270.41980331269,0.2258608801908048
2024-04-06,2024-07-06,-0.32749907097343733,223000.0,1.467799267622069,42.31149696428347,-0.4386811317809083,133984.20441563393,-0.4105399065879954,156514.9394197617,-0.3445074461834053,209382.56891519163,-66485.06058023829,0.2981392851131762
2024-05-04,2024-08-03,-0.31375990635828693,234000.0,1.467799267622069,43.280480423539764,-0.4054787234048853,160567.07916578522,-0.364943459600885,193020.8647003378,-0.3285819778716099,222132.99125430355,-40979.135299662186,0.17512450982761618
2024-06-01,2024-09-07,-0.32250301111338264,227000.0,2.154434690031882,37.33661575062082,-0.38168859480602324,179614.19170266477,-0.3480840337432213,206519.04232824087,-0.3039245587334049,241874.48341323467,-20480.957671759126,0.09022448313550276
2024-07-06,2024-10-05,-0.28378354719795884,258000.00000000003,2.154434690031882,39.196397672287475,-0.35127790132415415,203961.93318992254,-0.30107051954797587,244159.51543076363,-0.30107051954797587,244159.51543076363,-13840.484569236403,0.05364528902804807
2024-08-03,2024-11-02,-0.3299971009034646,221000.0,2.154434690031882,37.21426616961178,-0.2816365286033135,259718.96947177238,-0.24401018973996969,289843.77975611674,-0.24401018973996969,289843.77975611674,68843.77975611674,0.31151031563853726
2024-09-07,2024-12-07,-0.30876384649823224,238000.0,2.154434690031882,36.99023145797324,-0.30312012857366044,242518.53507176356,-0.252874989713446,282746.34680151695,-0.22871578262651723,302088.9549876922,44746.34680151695,0.18800986051057542
